118, 61730; 61729; 61925; 61500; 61415; 61540; 61542; 61414; 61926; 61504;
136, 10449;
186, 15061; 44612; 10312; 9517; 16472; 10313; 9391; 8608; 24833; 9392; 25658; 23055; 5765; 25659; 26935; 40902; 7384; 25661; 26934; 1500; 17880; 44870; 44601; 44603; 4842; 22484; 44602; 7385; 17879; 23057; 1521; 23056; 8565; 3124; 4843; 6594; 1998; 4469; 15059; 23058;
234, 32749; 32748; 43990; 64853; 48793; 38060; 32747; 48411; 58512; 50503; 58511; 32906; 64854; 43951; 48791; 50501; 62953; 58513; 38023; 36783; 48792; 52922; 62951; 36778; 37864; 37866; 36777; 50502; 37865; 32904; 48413; 38013; 52921; 64852; 32905;
243, 32708; 32895; 41980; 37878; 31327; 30865; 31328; 32707; 48832; 32896; 62123; 64855; 64856; 28538; 65498; 29296; 30888; 65267; 64333; 30826; 41983; 58760; 31388; 65266; 65268; 38948; 29294; 61308; 62111; 52836; 56716; 28539; 56360; 30825; 57392; 32894; 46868; 64331; 52835; 65499; 28517; 52808; 56359; 30889; 65496; 46961; 56714; 48883; 31389; 65497; 28518; 58219; 30866; 61306; 38949; 46595; 58218; 31387; 32709; 65495; 46869; 31368; 63837; 30864; 45656; 31329; 57391; 36187; 52809; 56715; 57393; 38947; 61304; 37879; 48833; 63839; 52834; 62113; 63838; 37877; 28519; 62112; 58217; 46867; 56361; 62122; 28574; 52807; 31367; 48831; 29295; 30824; 48882; 65494; 64332; 28537; 57375;
262, 3526; 7659; 7300; 28382; 1338; 8196; 28202; 26494; 14820; 26495; 28384; 5199; 26496; 3525; 7657; 5198; 28386; 1330; 14819; 5200;
32928, 133934858; 133210910; 131526932; 133837066; 131557662; 133934878; 131523358; 133972244; 128788490; 134074654; 133339412; 130500884; 129650442; 131557642; 128248350; 131526942;
34784, 131130644; 131325204; 133358858; 133358878; 133358868; 133856532; 131303690; 130229012; 131130654; 130702100; 129543434; 129547530; 130251540; 129723146; 129529364; 129524244; 129529886; 129543946; 129723156; 129653022; 130251530; 130708244; 129530388; 129544468; 129546004; 129525258; 129523220; 129989898; 131327252; 129987338; 129960222; 129989908; 130009886; 129530900; 129720094; 130311966; 129653002; 134034698; 129820948; 129960202; 129522698; 129543966; 129532426; 130156308; 133973780; 133973770; 129548042; 130008862; 129524746; 130249482; 129548062; 129823006; 133856522; 134039838; 134039828; 134042378; 130487050; 130249492; 129748254; 129524766; 129822996; 134151946; 129530910; 134151956; 134151966; 133856010; 133856020; 133856030; 129543444; 130357022; 129988894; 133878538; 133878558; 130130196; 130487060; 129525268; 129547540; 130487070; 129528862; 134042398; 129769226; 129525780; 129653012; 129720074; 129769236; 129528350; 129529374; 129820938; 129822986; 129989918; 129525790; 130697492; 129529876; 129529866; 130261268; 130311434; 129525278; 130697502; 130710794; 129545994; 129544458; 129528330; 129545482; 129532436; 131303710; 130355978; 130824468; 130261278; 129688852; 129720084; 129522708; 130705182; 129987348; 130708254; 130249502; 129530378; 129748244; 129700106; 129700126; 129795358; 129987358; 131092756; 131130634; 129544478; 130156318; 130357012; 131092746; 130682142; 129530398; 129545502; 131327242; 131327262; 131092766; 130009876; 134034718; 131303700; 131110164; 129723166; 130311444; 134034708; 129553694; 130521886; 130154772; 129528852; 1193746; 129700116; 129988884; 129545492; 129548052; 130521866; 130521876; 130497822; 131089674; 130355988; 133858068; 133858078; 129543454; 133379348; 130705162; 129688842; 129524756; 129960212; 129546516; 134156042; 130682132; 129543956; 134042388; 133480734; 133480724; 1184786; 129529354; 130697482; 130154782; 131134238; 130355998; 130824478; 134156062; 134156052; 133973790; 129553684; 129769246; 129546014; 129748234; 131089684; 130311956; 131153182; 131325194; 131153172; 131325214; 129528842; 129547550; 130251550; 134009118; 134009098; 134009108; 133379338; 133379358; 129530890; 129688862; 130659102; 133337876; 133480714; 131302666; 131302676; 129524234; 129546526; 130705172; 134039818; 130497812; 133337886; 130009866; 130605332; 130311946; 130659082; 133337866; 129523230; 129522718; 129795348; 130357002; 129525770; 133878548; 129795338; 131134218; 131134228; 129523210; 130710814; 130008852; 129524254; 129553674; 130229002; 130008842; 131110154; 130824458; 131110174; 130261258; 130702110; 130702090; 131558154; 131558164; 133858058; 130311454; 129532446; 129546506; 130156298; 131089694; 130682122; 129528340; 129820958; 130710804; 131302686;
34880, 130019604; 131071754; 130133278; 131308830; 129703198; 130657566; 130657556; 131430666; 134263316; 134263326; 134263306; 130657546; 130133268; 130675466; 129703188; 130154250; 131561226; 130133258; 130526484; 131308820; 130526474; 131308810; 131106058;
38, 20891; 9532; 45491; 9528; 60293; 22598; 12567; 4997; 23275; 60291; 21643; 60292; 23276; 1905; 13691; 3939; 1627; 10348; 36750; 2857; 23269; 23035; 17791; 27319; 17793; 12566; 22602; 26563; 36742; 1209; 26561; 24582; 4467; 36383; 2856; 11585; 22604; 7110; 12565; 23034; 1628; 36381; 1342; 34700; 21644; 36741; 1343; 3937; 23266; 2858; 48162; 3354; 26562; 11587; 17792; 26048; 23277; 22601; 13650; 22599; 23270; 4468; 26296; 26047; 11586; 36743; 21642; 13689; 3938; 1904; 4985; 23036; 4996; 1629; 24581; 22603; 13692; 3350; 1341; 47980; 3349; 9529; 24583;
451, 24581; 3354; 26561; 7110; 48162; 22529; 36381; 1208; 11658; 60291; 60293; 23057; 1627; 11657; 4556; 4468; 1629; 17880; 24833; 13691; 29761; 36750; 20858; 36743; 5200; 1343; 17791; 25661; 2856; 1628; 21642; 25770; 3126; 11585; 28386; 11027; 3124; 26934; 4985; 22602; 22531; 24542; 4997; 5198; 38010; 3350; 44612; 7657; 4842; 5199; 25659; 17792; 14820; 11586; 25658; 28382; 36383; 4526; 7659; 13650; 9391; 1338; 26563; 34700; 26935; 23035; 3938; 23275; 22530; 22604; 4467; 4996; 21644; 3525; 7300; 23056; 1904; 24583; 6037; 14819; 44603; 44602; 26562; 17879; 17793; 23269; 36742; 24582; 24543; 10421; 23277; 23058; 60292; 1341; 28384; 44870; 8608; 11032; 29763; 3349; 13689; 26047; 3937; 20857; 2858; 26495; 10422; 4843; 32203; 23276; 10420; 24541; 47980; 1330; 11028; 23266; 13692; 3526; 2857; 11883; 10312; 1521; 11587; 45491; 5414; 6044; 9528; 5425; 11147; 26494;
601, 7384; 11138; 8912; 40902; 23054;
8267, 131544084; 131544094; 131544074; 129512212; 129403658; 130635796; 133808650; 133808670; 130195466; 133808660; 129403668; 129519882; 129573898; 129878036; 129942036; 133487114; 133487134; 130635786; 129661962; 129661470; 129288458; 129490196; 129942046; 130411018; 129342740; 130411038; 134187018; 129408778; 129512222; 129239316; 129490206; 130121246; 129632788; 133801502; 133801492; 131320330; 131320350; 131320340; 130502164; 129289492; 130545172; 129512202; 129520926; 927762; 130121226; 129408798; 129288468; 130171402; 134187028; 134187038; 129490186; 129573908; 129948180; 133487124; 130502174; 130861066; 130861076; 130861086; 129681930; 131155466; 129948190; 129493790; 129632798; 131083786; 129493780; 129632778; 130854420; 130854430; 131083806; 129942026; 129661972; 129681950; 129288478; 130854410; 131083796; 129520916; 130024478; 130690058; 129483550; 130502154; 130690078; 130093578; 129948170; 130121236; 129520906; 129483530; 1013778; 129408788; 130069012; 129493770; 129483540; 129661450; 130635806; 129289502; 133809162; 129661982; 133801482; 130690068; 130195476; 129403678; 130411028; 129661460; 129239326;
8272, 130804766; 130121236; 133197332; 133197322; 131005470; 133197342; 133266452; 133266462; 131005450; 131233300; 131295764; 133357598; 133545502; 129239316; 131233310; 133831188; 133266442; 130024478; 131395082; 131395102; 133257226; 129342740; 131295754; 133357588; 131125268; 131005460; 131120138; 131120148; 133257236; 131055134; 133476362; 133218846; 133218836; 133218826; 130121226; 130121246; 133629460; 131125278; 129520916; 134086174; 133357578; 133629470; 133629450; 130918932; 130918942; 129520926; 129239326; 133831198; 131395092; 131120158; 129878036; 133831178; 133257246; 130918922; 129289502; 131175434; 129289492; 131124746; 131124756; 131125258; 131124766; 131055124; 131233290; 131471380; 129512212; 129661470; 129661450; 129520906; 130195476; 129403658; 129403668; 130195466; 129403678; 129661460; 130635796; 129512202; 130411028; 130411018; 130411038; 130635806; 129512222; 130635786; 134237726; 133476372; 133476382; 131175454; 131175444; 134237706; 134237716;
871, 7224; 40826; 20616; 5932; 8397; 49233; 42706; 5912; 11429; 5871; 42486; 15324; 8394; 52562; 8380; 9013; 27444; 43642; 8150; 40150; 20607; 8265; 9035; 5931; 6112; 57672; 12793; 43263; 43262; 26783; 6135; 27507; 27508; 3563; 8395; 49547; 3555; 17893; 42668; 6995; 27466; 27442; 49743; 41200; 43274; 9037; 4503; 10268; 4551; 3658; 4525; 22246; 26161; 12160; 24432; 40154; 24433; 5906; 40484; 4569; 40486; 3532; 27524; 14269; 5850; 26768; 30996; 30995; 40365; 41333; 41332; 41331; 27460; 26769; 6172; 52529; 52538; 40824; 40825; 42670; 22245; 23155; 52544; 43965; 43344; 6136; 6228; 49548; 43343; 4526; 25557; 11015; 11338; 27456; 18498; 27443; 10266; 12798; 40485; 3560; 5929; 25558; 16182; 6226; 5942; 58814; 58815; 58813; 12810; 49549; 52650; 42888; 42878; 42879; 32066; 31970; 31936; 6227; 4280; 26760; 30178; 30153; 30177; 42669; 16183; 18203; 8379; 52556; 52563; 40366; 3556; 24470; 43970; 24597; 4574; 3562; 8429; 8412; 18208; 42709; 40156; 58798; 58799; 52545; 52539; 4301; 7230; 16181; 20608; 3657; 42705; 42496; 9023; 9014; 5941; 8259; 7229; 4291; 6113; 10267; 52537; 22227; 24598; 24599; 5956; 43342; 25518; 8396; 42497;
874, 42831; 9105; 9554; 6844; 9726; 6301; 6687; 6808; 46903; 6638; 9106; 9107; 40424; 11764; 40550; 6419; 13781; 6899; 6274; 10813; 19963; 19768; 40397; 40396; 55083; 46110; 40548; 49; 42833; 40533; 40549; 9553; 20390; 13953; 14971; 14738; 6639; 14017; 6640; 31641; 6354; 40426; 40395; 45280; 40425; 19785; 47070; 48631; 25718; 42902; 22202; 22201; 13813; 6855; 6864; 20329; 40130; 17321; 14289; 18361; 14976; 24718; 24724; 25871; 26801; 26843; 18343; 48650; 37792; 6349; 53780; 61133; 8507; 24726; 17257; 26813; 6577; 6802; 6627; 9725; 6241; 20388; 6249; 6578; 6800; 6303; 6686; 6433; 13670; 6401; 6253; 6496; 23842; 6624; 6690; 6793; 42903; 37795; 47101; 6575; 22703; 22700; 18831; 6582; 25711; 6250; 8503; 6448; 6248; 6919; 18833; 6904; 6497; 6809; 11765; 6912; 6389; 17259; 17262; 13669; 37928; 37944; 25775; 25776; 25789; 6431; 6273; 12000; 19955; 40138; 12002; 21900; 6863; 20371; 11960; 18656; 19588; 14288; 6860; 19600; 19954; 10529; 10541; 20464; 14339; 6511; 41862; 9558; 11321; 11290; 11324; 6242; 6538; 42890; 42901; 54070; 25873; 42889; 6498; 18832; 55229; 55082; 24714; 6350; 6801; 8506; 6399; 6348; 22710; 18658; 22211; 10757; 20328; 6280; 20417; 14340; 6583; 6900; 14733; 6706; 42904; 40547; 40532; 49451; 49044; 17323; 17322; 10736; 6302; 9798; 6816; 9764; 6623; 9729; 6576; 6404; 6252; 6243; 9797; 18818; 19786; 6432; 6286; 10527; 6558; 37791; 46461; 48620; 25710; 19589; 6288; 18781; 18819; 13668; 53857; 6279; 6886; 11954; 21904; 24725; 25872; 25517; 25490; 25474; 6398; 41863; 14734; 14970; 22007; 6865; 6754; 13816; 42832; 9139; 9159; 18817; 6251; 9138; 6581; 14307;
879, 63150; 63149; 62768; 62767; 62941; 62942; 65063; 64926; 62770; 62771; 64482; 63535; 63534; 63333; 63963; 63961; 65177; 64933; 64982; 64777; 64483; 63559; 63560; 62756; 62289; 63381; 65066; 65201; 62848; 64267; 64929; 60244; 60246; 60245; 63314; 65263; 65172; 63811; 60562; 62742; 61703; 64340; 62944; 63540; 60553; 63334; 65065; 62762; 62772; 64341; 62947; 63962; 62945; 62946; 63332; 63417; 63877; 63885; 63886; 64540; 64481; 63824; 64528; 65178; 64526; 64539; 64527; 63533; 63536; 63079; 63080; 62704; 63018; 64778; 63825; 63538; 62855; 63141; 62760; 61565; 62761; 65064; 65171; 63140; 64510; 63557; 63379; 63016; 63017; 63823; 62290; 62288; 62705; 63081; 63539; 65173; 65084; 63530; 63151; 62164; 61702; 61704; 62948; 64538; 62674; 63531; 63074; 62932; 62935; 63073; 64266; 63815; 64514; 64509; 63812; 63071; 63070; 63561; 62170; 62746; 62205; 62740; 64511; 64512; 62938; 62939; 62745; 62676; 62268; 62267; 62269; 63415; 65265; 65175; 64747; 64748; 63814; 64746; 64930; 62940; 61578; 62271; 62270; 62272; 63117; 63115; 63116; 61558; 65060; 63556; 62773; 62774; 62673; 62675; 63537; 63233; 63232; 63248; 63416; 64927; 64744; 64745; 64743; 63878; 63917; 63916; 63881; 63884; 63875; 63879; 63816; 62937; 62934; 63453; 63461; 62949; 63142; 63380; 62849; 62844; 62846; 62847; 62747; 62744; 64820; 64823; 62766; 62769; 61582; 61669; 61668; 61674; 61666; 61586; 63532; 63107; 63106; 64776; 62933; 63558; 63541; 63147; 63148; 63143; 62854; 65083; 63072; 63075; 62853; 63876; 63874; 62943; 62936; 65174; 64513; 64271; 65067; 62845; 63813; 63108; 62755; 61667; 61670; 63315; 62743; 62741; 63679;
892, 64985; 64510; 63604; 63606; 65066; 65064; 64647; 63819; 64625; 63607; 63414; 63413; 64251; 65083; 63814; 65182; 63608; 63612; 64264; 64436; 64624; 63961; 63813; 65204; 60255; 61314; 64628; 64982; 65177; 64675; 64520; 64266; 64989; 64209; 63545; 64208; 64211; 64149; 61317; 61316; 64671; 64147; 64144; 64281; 64273; 64274; 64740; 62929; 65176; 64286; 61315; 61318; 60261; 60259; 60260; 64737; 64739; 64996; 64512; 64626; 64309; 64930; 64745; 64481; 64231; 62646; 64254; 63412; 62243; 64539; 64990; 65321; 64483; 64454; 65320; 65315; 65263; 64670; 65063; 65316; 64289; 63888; 61313; 64206; 64744; 64742; 65323; 64511; 64265; 64933; 64218; 64220; 64776; 64527; 64509; 65265; 65172; 64777; 64365; 64332; 64170; 64649; 64514; 64306; 63610; 63611; 64453; 63811; 64748; 64146; 64219; 64629; 64437; 64608; 64438; 63815; 63816; 64857; 64623; 64988; 65322; 64775; 64341; 62647; 64692; 64927; 64171; 65178; 65175; 63825; 63544; 64926; 64340; 62921; 63609; 64439; 63824; 64646; 63546; 64226; 64631; 64528; 64263; 64253; 64605; 60258; 64285; 64435; 64673; 64282; 64583; 64283; 64774; 65181; 65267; 64633; 64674; 62918; 64434; 64632; 65065; 65209; 64482; 64287; 63563; 64743; 63823; 64773; 63963; 64929; 65060; 64267; 64513; 64747; 63962; 64540; 64630; 64538; 65174; 64648; 64230; 64627; 64271; 65084; 65067; 62245; 61319; 61322; 64224; 64993; 64746; 64284; 64684; 63812; 64651; 64517; 64991; 63565; 62244; 65328; 63547; 63891; 64172; 64333; 61336; 61334; 61335; 65024; 64873; 64872; 64650; 64683; 65019; 62648; 63564; 65329; 63818; 65324; 63605; 64622; 64331; 64232; 65020; 64531; 63817; 61321; 64256; 64288; 64526; 64682; 64672; 64778; 63542; 63543; 65171;
893, 22245; 22227; 22246;
899, 65254; 61558; 61560; 64519; 64088; 65359; 64025; 64023; 64489; 64354; 64305; 65067; 63658; 64012; 64355; 65114; 61564; 65075; 64187; 64234; 64090; 64490; 64213; 62420; 62422; 62421; 48833; 64054; 64029; 64879; 64031; 64172; 64353; 64881; 64578; 65391; 64882; 65193; 64837; 64130; 64038; 64040; 64107; 63961; 64575; 63356; 63355; 64171; 64190; 64016; 64212; 64853; 64776; 30865; 64140; 64311; 64142; 64144; 64286; 64027; 64278; 64043; 64279; 64867; 64868; 64093; 64293; 64143; 64032; 64544; 65252; 65077; 63656; 61386; 61385; 61384; 64003; 64073; 64186; 64535; 64577; 63400; 64039; 65376; 65104; 64108; 30866; 64677; 64227; 64285; 64579; 64467; 64242; 30864; 30889; 63359; 63372; 61644; 61641; 61640; 63375; 63373; 64103; 63881; 64228; 64515; 64316; 64516; 62171; 62509; 63374; 63988; 64465; 64030; 62147; 64280; 63414; 63415; 65237; 62172; 64277; 64360; 64775; 65358; 62149; 64026; 63644; 62148; 64092; 64281; 64827; 64315; 63994; 64070; 64287; 64870; 64297; 64021; 64580; 65338; 64549; 64282; 64072; 64338; 64083; 63134; 63626; 63661; 64018; 64192; 62170; 64873; 65073; 65076; 64502; 64076; 64782; 64034; 64230; 63996; 64233; 64284; 63319; 63322; 64086; 64289; 64141; 64753; 65356; 64866; 64876; 65078; 64869; 60818; 61009; 60892; 60964; 60891; 60819; 60990; 64224; 60585; 60868; 64033; 64050; 64135; 64678; 64069; 64080; 64106; 64488; 64755; 64871; 64121; 63613; 60591; 61067; 61093; 65279; 63995; 65135; 62021; 62029; 65175; 64762; 60417; 60598; 60907; 60408; 60626; 60628; 61094; 60407; 60597; 60838; 64361; 64264; 63620; 60940; 61082; 60837; 60605; 60947; 60601; 60839; 64104; 60409; 60593; 60906; 60840; 60822; 63592; 64014; 64845; 64024; 30888; 60864; 60946; 60948; 60603; 60944; 61081; 60815; 37879; 63982; 65127; 62173; 62188; 62189; 62178; 62180; 64304; 63992; 64126; 64265; 65159; 63506; 65350; 64236; 64139; 64138; 65336; 64074; 64517; 63650; 65255; 65208; 61010; 60820; 60859; 60989; 61014; 64208; 64378; 65166; 64823; 63338; 63652; 63564; 60589; 63416; 63413; 64263; 64642; 63981; 64211; 64209; 64051; 61625; 61627; 60865; 60866; 60694; 61083; 60693; 60816; 60692; 60606; 60817; 60835; 60604; 60602; 60823; 60599; 60821; 61068; 63586; 63402; 63583; 63405; 64066; 64842; 64046; 64303; 64301; 61622; 62091; 61624; 62089; 61626; 63611; 64007; 64240; 64537; 65101; 64052; 64747; 64994; 64048; 64061; 64110; 63136; 64831; 62041; 62042; 62044; 64006; 60836; 60945; 64112; 64536; 64063; 64345; 64348; 64349; 65100; 64067; 64283; 64342; 63135; 65368; 64145; 64244; 63991; 64841; 63404; 63587; 64260; 63959; 37878; 64019; 64028; 64306; 64545; 63655; 63381; 63380; 64843; 63654; 64057; 64341; 64216; 64105; 60625; 60627; 64011; 64100; 64017; 63137; 64071; 64754; 64064; 64751; 61623; 62090; 62722; 62723; 63508; 64037; 64125; 63647; 64122; 64238; 64346; 64084; 64098; 64522; 60908; 60592; 61066; 60418; 61095; 60416; 60629; 60630; 63440; 64302; 64533; 64219; 64299; 64101; 64097; 64206; 63353; 63352; 63999; 63649; 64757; 65094; 64243; 65096; 64241; 62642; 64095; 63382; 64231; 64257; 64576; 63379; 64748; 64049; 64750; 64004; 64292; 63651; 61766; 64468; 64239; 63401; 63646; 64275; 64464; 64503; 64838; 65191; 60539; 60586; 60587; 60860; 60869; 64087; 64534; 65080; 64060; 62163; 62166; 64752; 64015; 62641; 62508; 60577; 60893; 60988; 60579; 60966; 60965; 60578; 60588; 60858; 64120; 64119; 62506; 64075; 65089; 63629; 64542; 64085; 63507; 63648; 64170; 64504; 64550; 65347; 63659; 65393; 65132; 64077; 37877; 64288; 64854; 65211; 64189; 64880; 64235; 63645; 64258; 64261; 64518; 64538; 64094; 64343; 64022; 63417; 63441; 63418; 65139; 65235; 63581; 63585; 65355; 65361; 63916; 63653; 62507; 64020; 64839; 64840; 64229; 65105; 63979; 64645; 64111; 60867; 64844; 63358; 64332; 64339; 63439; 63139; 64294; 64377; 64035; 65333; 65339; 64191; 64546; 63438; 63436; 63437; 64296; 64225; 64993; 63917; 64276; 63591; 63593; 64883; 64356; 64676; 64884; 65064; 64756; 65354; 64089; 64232; 65121; 64047; 64340; 61765; 64226; 64174; 64169; 65325; 65348; 64548; 64477; 64761; 63383; 63138; 64469; 64543; 64765; 64298; 64300; 63605; 63606; 63584; 64847; 64081; 61764; 64001; 62485; 62503; 64295; 65123; 62112; 62111; 65179; 63978; 64091; 62123; 60532; 60434; 62732; 64214; 63997; 64079; 64344; 63974; 64058; 65107; 64334; 64333; 64099; 64102; 63628; 63631; 63971; 63956; 63318; 63634; 63636; 64456; 60506; 63623; 30825; 61304; 63621; 63317; 63987; 64000; 64044; 64441; 60462; 60504; 62113; 64530; 64470; 64523; 63960; 63985; 64045; 62150; 62153; 65088; 48831; 64877; 63612; 63625; 60489; 64448; 61308; 61628; 61630; 61632; 61633; 61629; 64002; 64440; 63968; 63151; 63970; 64065; 63624; 60878; 61104; 60614; 60617; 61060; 61103; 60689; 60828; 60609; 61041; 60561; 60620; 60624; 60618; 60827; 60877; 60690; 60611; 61015; 61036; 61039; 61040; 60560; 60888; 63955; 61631; 64036; 64855; 65326; 60490; 60498; 60491; 63150; 64443; 64450; 64836; 65079; 64643; 63958; 63627; 63630; 64010; 64013; 64874; 64875; 62504; 62505; 62501; 62502; 63622; 62122; 61306; 30826; 58219; 63980; 63990; 63154; 63637; 63977; 64059; 65097; 65060; 64992; 60562; 60610; 60812; 60813; 60829; 60619; 60890; 61038; 61102; 60637; 60814; 60876; 60608; 60612; 60830; 61005; 63998; 64078; 63153; 65081; 60420; 60477; 60423; 63660; 63149; 63989; 64068; 62151; 62156; 64347; 64829; 64215; 64218; 65090; 60825; 61037; 60636; 60567; 61000; 63969; 63973; 63972; 64185; 64531; 64830; 64832; 30824; 61424; 61418; 61426; 61427; 61423; 61425; 60613; 60635; 60826; 60691; 61017; 60553; 60833; 60834; 61016; 61061; 60607; 60824; 61004; 61062; 60563; 60616; 60889; 64749; 65102; 64005; 64188; 60437; 60538; 60465; 64872; 65091; 63321; 63983; 64454; 64210; 60474; 62030; 62027; 64453; 61532; 61542; 61499; 61543; 61546; 61533; 61545; 61504; 61531; 61540; 61544; 61500; 62411; 62414; 62412; 62415; 63657; 64082; 63635; 63966; 64041; 64743; 63957; 63632; 63976; 63984; 63993; 64455; 64524; 62413; 62416; 62162; 62164; 62165; 62161; 48832; 64207; 64457; 63320; 63967; 64055; 63152; 63633; 64237; 62518; 63357; 63354; 63412; 63403; 63607; 63975; 58218; 63986; 64062; 64056; 64473; 58217; 64053; 64042; 60615;
907, 8722;
912, 65417; 65297; 62548; 63221; 65442; 62638; 62640; 62718; 64980; 65400; 62545; 65288; 65481; 62138; 62140; 62139; 65502; 62115; 62109; 65411; 62120; 62117; 62577; 65293;
918, 52743; 6627; 10813; 6865; 9797; 54666; 23842; 11764; 8507; 23843; 57674; 40550; 47101; 40549; 22700; 20329; 13669; 49044; 55003; 6855; 52761; 52769; 52768; 6273; 6286; 11960; 13816; 19589; 11954; 12000; 22202; 19588; 19600; 12002; 40547; 40130; 13813; 40532; 6274; 6801; 6419; 40138; 40397; 6280; 22201; 19768; 6279; 13781; 20390; 40533; 10736; 48650; 6399; 6575; 55082; 37795; 49451; 37792; 49; 40548; 24724; 9554; 61133; 41862; 24725; 46110; 9553; 14017; 47070; 8506; 11290; 20388; 6800; 22710; 52839; 27207; 27183; 42889; 42831; 46903; 24726; 6252; 52838; 54796; 8503; 9798; 22703; 52700; 22211; 54797; 42833; 26843; 24718; 17322; 42890; 6496; 42904; 9729; 43281; 19101; 14976; 14971; 18361; 9726; 6249; 37944; 52741; 6398; 6253; 9106; 43279; 43280; 37791; 14289; 57684; 57692; 57682; 57688; 57683; 45280; 24714; 42901; 17321; 57689; 40396; 40395; 6431; 6802; 37928; 31641; 14970; 18343; 55008; 6623; 52701; 17323; 46461; 11324; 11765; 58409; 57725; 19786; 6288; 6432; 19785; 9764; 13668; 26801; 6251; 6687; 6250; 18818; 6348; 9105; 14733; 18817; 6301; 6793; 26813; 6241; 6639; 6349; 6577; 42903; 6578; 6354; 6350; 6816; 6808; 6433; 6690; 6706; 6303; 18819; 14734; 6686; 6576; 6248; 57727; 57726; 41863; 11321; 9558; 52840; 41592; 58750; 49450; 40425; 20328; 25711; 40426; 6558; 6864; 19963; 6860; 25718; 22007; 21904; 18658; 25517; 53857; 10527; 18781; 48631; 18656; 6900; 40424; 10529; 20371; 55229; 6401; 6886; 6899; 10757; 25872; 54070; 19955; 25710; 6863; 10541; 14288; 21900; 48620; 19954; 6404; 14307; 25873; 6624; 25490; 25871; 53780; 58754; 58755; 6302; 6448; 6638; 57673; 55083; 6538; 25474; 57675; 57584; 6389; 14738; 17259; 9725; 13670; 52742; 52747; 13953; 42832; 6754; 6809; 17262; 6243; 6242; 42902; 6640; 17257; 9107;
